"Reeks","Wedstrijdnr","Datum","Uur","Thuis","Bezoekers","Sporthall","Uitslag","Setstanden","Uitslag reserven","Setstanden reserven"
"U15 Meisjes 2e Provinciale C","U15M2PC-0023","10/11/2018","14:00","VBT MACHELEN B","SMASH NEERIJSE","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 1e Provinciale B","U13M1PB-0023","10/11/2018","14:00","LIZARDS LUBBEEK-LEUVEN","VBT MACHELEN A","Sporthal Lubbeek","","","",""
"U13 Meisjes 2e Provinciale C","U13M2PC-0024","10/11/2018","14:30","BRUSSELS VOLLEY","VBT MACHELEN C","Sporthal Ganshoren","","","",""
"U11 Meisjes 2e Provinciale C 2-2","U11M2PC 2-2-0023","10/11/2018","16:00","VBT MACHELEN B","VC KNØDDE MEISE","Sporthal Bosveld, Machelen","","","",""
"U15 Jongens 2e Provinciale B","U15J2PB-0028","10/11/2018","18:30","VC LENNIK HEREN","VBT MACHELEN B","Gem. Sporthal Jo Baetens, Lennik","","","",""
"3de Provinciale Mannen A","3PMA-0037","10/11/2018","20:00","VBT MACHELEN C","KLB SOLLENBEEMD HALLE","Sporthal Bosveld, Machelen","","","",""
"2de Provinciale Vrouwen B","2PVB-0042","10/11/2018","20:30","DA@MET LIEDEKERKE","VBT MACHELEN A","Sporthal Heuvelkouter, Liedekerke","","","",""
"U15 Meisjes 2e Provinciale B","U15M2PB-0022","11/11/2018","11:30","VC ETERNIT KAPELLE O/D BOS","VBT MACHELEN A","Sporthal Eternit, Kapelle-op-den-Bos","","","",""
"3de Provinciale Vrouwen D","3PVD-0038","11/11/2018","13:30","VC ETERNIT KAPELLE O/D BOS B","VBT MACHELEN B","Sporthal Eternit, Kapelle-op-den-Bos","","","",""
"2de Provinciale Mannen B","2PMB-0039","11/11/2018","14:00","KRUIKENBURG TERNAT heren C","VBT MACHELEN B","Sporthal Kruikenburg","","","",""
"U11 Meisjes 1e Provinciale B 2-2","U11M1PB 2-2-0024","11/11/2018","14:30","GOVOK CAMMAERT GOOIK  VZW B","VBT MACHELEN A","Sporthal Koornmolen, Gooik","","","",""
"U13 Jongens 1e Provincale B ","U13J1PB-0025","17/11/2018","09:30","VBT MACHELEN A","KRUIKENBURG TERNAT A","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 2e Provinciale A","U13M2PA-0026","17/11/2018","09:30","VBT MACHELEN B","VC KNØDDE MEISE A","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 2e Provinciale C","U13M2PC-0026","17/11/2018","09:30","VBT MACHELEN C","DAVOC LOT C","Sporthal Bosveld, Machelen","","","",""
