Reeks,Wedstrijdnr,Datum,Uur,Thuis,Bezoekers,Sporthall,Uitslag,Setstanden,Uitslag reserven,Setstanden reserven
U15 Jongens 2e Provinciale B,U15J2PB-0028,10/11/2018,18:30,VC LENNIK HEREN,VBT MACHELEN B,"Gem. Sporthal Jo Baetens, Lennik",,,,
U15 Jongens 2e Provinciale B,U15J2PB-0002,17/11/2018,14:00,VBT MACHELEN B,VOLLEY SCHEPDAAL VZW,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 2e Provinciale B,U15J2PB-0034,24/11/2018,09:30,VBT MACHELEN B,DAVOC LOT,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 2e Provinciale B,U15J2PB-0041,12/01/2019,09:30,VBT MACHELEN B,VC KNØDDE MEISE,"Sporthal Bosveld, Machelen",,,,
U15 Jongens 2e Provinciale B,U15J2PB-0047,19/01/2019,17:00,ZUUN VOLLEYBAL CLUB,VBT MACHELEN B,"Wildersportcomplex, Sint-Pieters-Leeuw",,,,
U15 Jongens 2e Provinciale B,U15J2PB-0051,26/01/2019,16:00,VOLLEY OPWIJK - LINDEMANS AALST,VBT MACHELEN B,"Sportzaal Vrij Katholiek Onderwijs, Opwijk",,,,
U15 Jongens 2e Provinciale B,U15J2PB-0054,02/02/2019,09:30,VBT MACHELEN B,VC LENNIK HEREN,"Sporthal Bosveld, Machelen",,,,
U13 Jongens 1e Provincale B ,U13J1PB-0016,08/09/2018,18:00,VBT MACHELEN A,VOLLEY HAASRODE LEUVEN (VHL) B,"Sporthal Bosveld, Machelen",,,,
U13 Jongens 1e Provincale B ,U13J1PB-0005,15/09/2018,09:30,VBT MACHELEN A,VCV LEEFDAAL-BERTEM A,"Sporthal Bosveld, Machelen",,,,
U13 Jongens 1e Provincale B ,U13J1PB-0010,29/09/2018,10:30,KRUIKENBURG TERNAT A,VBT MACHELEN A,Sporthal Kruikenburg,,,,
U13 Jongens 1e Provincale B ,U13J1PB-0029,06/10/2018,16:00,VBT MACHELEN A,LIZARDS LUBBEEK-LEUVEN,"Sporthal Bosveld, Machelen",,,,
U13 Jongens 1e Provincale B ,U13J1PB-0001,21/10/2018,14:30,VOLLEY HAASRODE LEUVEN (VHL) B,VBT MACHELEN A,Sportcomplex Haasrode,,,,
U13 Jongens 1e Provincale B ,U13J1PB-0020,28/10/2018,14:00,VCV LEEFDAAL-BERTEM A,VBT MACHELEN A,"Gemeentelijke Sportzaal, Leefdaal",,,,
U13 Jongens 1e Provincale B ,U13J1PB-0025,17/11/2018,11:45,VBT MACHELEN A,KRUIKENBURG TERNAT A,"Sporthal Bosveld, Machelen",,,,
U13 Jongens 1e Provincale B ,U13J1PB-0014,25/11/2018,14:00,LIZARDS LUBBEEK-LEUVEN,VBT MACHELEN A,Sporthal Korbeek-Lo,,,,
U13 Jongens 2e Provinciale C,U13J2PC-0002,08/09/2018,16:00,VBT MACHELEN B,VELVOC B,"Sporthal Bosveld, Machelen",,,,
U13 Jongens 2e Provinciale C,U13J2PC-0004,16/09/2018,14:00,WEVOK ST.-JORIS WEERT B,VBT MACHELEN B,"Ontmoetingscentrum, Sint-Joris-Weert",,,,
U13 Jongens 2e Provinciale C,U13J2PC-0008,22/09/2018,09:30,VBT MACHELEN B,GRIVOK GRIMBERGEN,"Sporthal Bosveld, Machelen",,,,
U13 Jongens 2e Provinciale C,U13J2PC-0010,29/09/2018,09:30,VBT MACHELEN B,WOLVERTEM SPORTING,"Sporthal Bosveld, Machelen",,,,
U13 Jongens 2e Provinciale C,U13J2PC-0030,06/10/2018,11:45,VBT MACHELEN B,VCV LEEFDAAL-BERTEM C,"Sporthal Bosveld, Machelen",,,,
U13 Jongens 2e Provinciale C,U13J2PC-0017,21/10/2018,14:00,VELVOC B,VBT MACHELEN B,"Sportcentrum Ivo Van Damme, Veltem-Beisem ",,,,
U13 Jongens 2e Provinciale C,U13J2PC-0019,27/10/2018,16:00,VBT MACHELEN B,WEVOK ST.-JORIS WEERT B,"Sporthal Bosveld, Machelen",,,,
U13 Jongens 2e Provinciale C,U13J2PC-0023,10/11/2018,17:00,GRIVOK GRIMBERGEN,VBT MACHELEN B,"Gem. Sporthal Prinsenbos, Grimbergen",,,,
U13 Jongens 2e Provinciale C,U13J2PC-0025,17/11/2018,16:00,WOLVERTEM SPORTING,VBT MACHELEN B,"Sportschuur, Wolvertem",,,,
U13 Jongens 2e Provinciale C,U13J2PC-0015,25/11/2018,09:00,VCV LEEFDAAL-BERTEM C,VBT MACHELEN B,"Gemeentelijke Sportzaal, Bertem",,,,
U11 Jongens 1e Provinciale B 2-2,U11J1PB 2-2-0001,08/09/2018,10:30,KRUIKENBURG TERNAT B,VBT MACHELEN A,Sporthal Kruikenburg,,,,
U11 Jongens 1e Provinciale B 2-2,U11J1PB 2-2-0005,15/09/2018,14:00,VBT MACHELEN A,VOLLEY THOR TERVUREN,"Sporthal Bosveld, Machelen",,,,
U11 Jongens 1e Provinciale B 2-2,U11J1PB 2-2-0010,29/09/2018,15:30,VOLANZO LANDEN-ZOUTLEEUW A,VBT MACHELEN A,"Sportcentrum De Passant, Zoutleeuw",,,,
U11 Jongens 1e Provinciale B 2-2,U11J1PB 2-2-0014,07/10/2018,13:30,VELVOC A,VBT MACHELEN A,"Sportcentrum Ivo Van Damme, Veltem-Beisem ",,,,
